,smiles,core_smiles,E_neu(eV),E_an(eV),E_neu - E_an(eV),E(meV),GP-calibrated E vs Li/Li+ (V),GP uncertainty (meV),boltzmann_averaged_electronic_coupling (eV)
380,CC1(C)N([O])C(c2cc(C[N+](C)(C)C)cc(C[N+](C)(C)C)c2)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-2257.434603,-2266.058971,8.624367832,3778.367832,2.537071947,29.99319391,
381,COCc1cc2c(cc1COC)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-1713.540063,-1721.87093,8.330866977,3484.866977,2.538906595,5.311932641,
382,C[n+]1ccc(C(=O)c2ccccc2)c(CC[N+](C)(C)C)c1,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-1633.264865,-1642.378146,9.113280245,4267.280245,2.545250631,45.37026723,
383,C[n+]1cccc(-c2cc(S)c[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1122.303187,-1131.405129,9.101942032,4255.942032,2.546229586,235.4143405,
384,C[n+]1cccc(-c2c[n+](C)ccc2CC[N+](C)(C)C)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1562.628723,-1571.731048,9.102324836,4256.324836,2.546572993,235.4151482,
385,C[n+]1ccc(-c2c(N)c[n+](C)cc2N)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1221.547163,-1230.533644,8.986481538,4140.481538,2.549487544,72.91355723,
386,CC1(C)N([O])C(c2ccccc2O)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-1482.882201,-1491.528881,8.646680227,3800.680227,2.550000649,31.58053618,
387,CC1(C)N([O])C(c2ccccc2C[N+](C)(C)C)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-1814.4774,-1823.128745,8.651344842,3805.344842,2.551332496,32.3585489,
388,C[n+]1cccc(-c2ccc[n+](C)c2CC[N+](C)(C)C)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1562.383162,-1571.499742,9.116579892,4270.579892,2.553823938,235.5506213,
389,O=C1c2ccccc2C(=O)c2cc(S)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1236.511634,-1244.868195,8.35656063,3510.56063,2.554519748,6.978991285,
390,C[n+]1cccc(-c2ccc(CC[N+](C)(C)C)[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1562.600899,-1571.725755,9.124855676,4278.855676,2.557380531,235.7068207,
391,C[n+]1c(N)ccc2ccc3ccc(N)[n+](C)c3c21,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1338.896774,-1347.81167,8.914895928,4068.895928,2.563044516,260.7160923,
392,O=C1c2ccccc2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1259.130021,-1267.503532,8.373510094,3527.510094,2.564064331,8.145500243,
393,C[n+]1cc(S)cc(-c2cc(S)c[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1210.717985,-1219.859142,9.141156538,4295.156538,2.565206091,235.9212602,
394,COCCc1c[n+](C)ccc1-c1cc[n+](C)cc1CCOC,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1772.252537,-1781.279577,9.027039953,4181.039953,2.569937019,68.82853891,
395,C[N+](C)(C)Cc1ccc2c(c1)C(=O)c1cc(C[N+](C)(C)C)ccc1-2,O=C1c2ccccc2-c2ccccc21,-1864.574702,-1872.818423,8.243720433,3397.720433,2.578529756,41.27790619,
396,C[n+]1cccc(-c2cc(CC[N+](C)(C)C)c[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1562.643799,-1571.81431,9.170511069,4324.511069,2.579363167,236.34597,
397,C[n+]1cc(CC[N+](C)(C)C)c(C(=O)c2ccccc2)c(CC[N+](C)(C)C)c1,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-2161.956557,-2171.146318,9.189761659,4343.761659,2.579729086,53.12949478,
398,C[N+](C)(C)Cc1ccc2c(c1)-c1cc(C[N+](C)(C)C)ccc1C2=O,O=C1c2ccccc2-c2ccccc21,-1864.56548,-1872.819971,8.254491168,3408.491168,2.584991467,41.9930293,
399,O=C1c2ccccc2C(=O)c2cc(S)c(S)cc21,O=C1c2ccccc2C(=O)c2ccccc21,-1325.010779,-1333.428802,8.418023521,3572.023521,2.588092659,11.35057101,
400,C[n+]1cc(N)cc2ccc3cc(N)c[n+](C)c3c21,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1338.44067,-1347.410381,8.969711518,4123.711518,2.59041889,261.3381535,
401,C[N+](C)(C)CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-1676.866048,-1685.28741,8.421361745,3575.361745,2.590683918,11.6082531,
402,CN(C)c1c[n+](C)ccc1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1300.370759,-1309.44116,9.070401635,4224.401635,2.591062903,64.61904762,
403,CCc1c[n+](C)cc(CC)c1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1379.100496,-1388.172883,9.072387223,4226.387223,2.591692969,64.38163326,
404,COCc1c[n+](C)cc(COC)c1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1599.557209,-1608.639824,9.082615099,4236.615099,2.59642196,63.14564473,
405,C[N+](C)(C)CCc1cccc2c1C(=O)c1c(CC[N+](C)(C)C)cccc1-2,O=C1c2ccccc2-c2ccccc21,-2037.075408,-2045.352729,8.277321491,3431.321491,2.598333791,43.53228211,
406,CCc1c[n+](C)ccc1-c1cc[n+](C)cc1CC,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1379.105532,-1388.19917,9.093638142,4247.638142,2.602455298,62.07445333,
407,C[n+]1cc(S)c(C(=O)c2ccccc2)c(S)c1,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-1281.323657,-1290.564468,9.240810641,4394.810641,2.604700422,59.50067491,
408,C[n+]1ccc(-c2cc[n+](C)c(N)c2)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1128.298756,-1137.399478,9.100722535,4254.722535,2.60561579,61.26202796,
409,CN(C)c1ccc2ccc3ccc(N(C)C)[n+](C)c3c2[n+]1C,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1683.263706,-1692.266934,9.003227865,4157.227865,2.606986471,261.7906454,
410,C[n+]1ccc(-c2cc[n+](C)cc2N)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1128.092722,-1137.199347,9.10662531,4260.62531,2.608411894,60.63931122,
411,O=C1c2ccc(S)cc2C(=O)c2cc(S)ccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1325.073744,-1333.524584,8.450839954,3604.839954,2.608581681,13.83104961,
412,Cc1c[n+](C)cc(C)c1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1206.888647,-1215.997738,9.10909118,4263.09118,2.609655425,60.51549413,
413,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1370.289733,-1378.749851,8.460117963,3614.117963,2.61343581,14.47813623,
414,Cc1c[n+](C)ccc1-c1cc[n+](C)cc1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1206.901207,-1216.020658,9.119450679,4273.450679,2.614649111,59.40591679,
415,COc1c[n+](C)cc(OC)c1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1428.036243,-1437.188589,9.152345859,4306.345859,2.630095054,55.62469333,
416,C[N+](C)(C)CCc1cccc2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-1676.842856,-1685.341731,8.498874744,3652.874744,2.633273354,17.32578205,
