,smiles,core_smiles,E_neu(eV),E_an(eV),E_neu - E_an(eV),E(meV),exp(meV)
44,O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,-1006.23607,-1013.301276,7.06520588,2219.20588,908.8
45,N#Cc1ccc(C#N)cc1,N#Cc1ccc(C#N)cc1,-678.5286052,-686.0226936,7.494088351,2648.088351,1382
46,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,-717.2019472,-725.2753856,8.073438429,3227.438429,1638.8
47,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,-1067.795857,-1077.398457,9.602600346,4756.600346,2918.8
48,CCOC(=O)CBr,CCOC(=O)CBr,-663.1378504,-670.9611958,7.823345394,2977.345394,1962
49,CCOC(=O)C(Br)C(=O)OCC,CCOC(=O)C(Br)C(=O)OCC,-1115.434789,-1123.843075,8.408285988,3562.285988,2402
50,O=C1OC(=O)c2ccccc21,O=C1OC(=O)c2ccccc21,-854.0973222,-862.4260188,8.328696644,3482.696644,1682
51,O=C(Cl)c1ccccc1,O=C(Cl)c1ccccc1,-711.6174393,-719.1542769,7.536837609,2690.837609,1822
52,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,-1111.631341,-1119.603359,7.972018163,3126.018163,1572
53,Cc1ccc(S(=O)(=O)Cl)cc1,Cc1ccc(S(=O)(=O)Cl)cc1,-938.9964285,-946.9363219,7.939893465,3093.893465,1652
54,Brc1ccc(I)cc1,Brc1ccc(I)cc1,-619.9044593,-626.5766623,6.672203022,1826.203022,1072
55,Cc1ccc(/N=C/c2ccccc2)cc1,Cc1ccc(/N=C/c2ccccc2)cc1,-1075.180037,-1082.011444,6.831406813,1985.406813,1012
56,O=C1CCCCC1,O=C1CCCCC1,-599.444506,-604.8120141,5.367508073,521.508073,692
57,O=C1CCCO1,O=C1CCCO1,-538.3093413,-543.6170574,5.307716042,461.716042,892
58,O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-1714.671278,-1723.210984,8.539706649,3693.706649,2572
59,N#Cc1ccccc1,N#Cc1ccccc1,-555.4565432,-561.9148724,6.458329229,1612.329229,592
60,Cc1ccccc1C=O,Cc1ccccc1C=O,-687.2179625,-694.160739,6.942776544,2096.776544,1082
0,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1034.038109,-1043.631361,9.593251405,4747.251405,2820
1,O=C1c2ccccc2-c2ccccc21,O=C1c2ccccc2-c2ccccc21,-979.0497221,-986.6237265,7.574004405,2728.004405,2190
2,CN1C(=O)c2ccccc2C1=O,CN1C(=O)c2ccccc2C1=O,-923.5041103,-931.2929703,7.788859971,2942.859971,1750
3,c1ccc2nsnc2c1,c1ccc2nsnc2c1,-652.4146682,-659.9016255,7.486957313,2640.957313,2000
4,c1ccc2nccnc2c1,c1ccc2nccnc2c1,-1147.945187,-1156.203703,7.168168381,2322.168381,3070
5,O=C1c2ccccc2C(=O)c2ccccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1371.824266,-1380.043164,8.258515811,3412.515811,2500
6,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-967.2935563,-974.0299882,8.218898038,3372.898038,2310
7,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-1363.430125,-1372.065685,8.635560347,3789.560347,2300
